num_points,accuracy
3,0.47144112478031636
4,0.531082705124003
5,0.5841276641319482
6,0.6360551663747811
7,0.7099674972914409
8,0.7529271465741544
9,0.7945264986967854
10,0.8348763751225357
11,0.8596908442330559
12,0.879437300802286
13,0.8992290150939298
14,0.9108391608391608
15,0.9208245243128964
16,0.9208891794704152
17,0.9262091996121943
18,0.9314830875975716
19,0.9321572470870086
20,0.9393060359254713
21,0.939980321416858
22,0.9347446529899607
23,0.931867417677643
24,0.9299106169609767
25,0.9314441416893733
26,0.9311205119861157
27,0.9291210577652541
28,0.9154641395649364
29,0.9130527437400107
30,0.9127634021181351
