train_loss,val_loss,val_acc
1.3357884042653525,1.1829952569625959,0.5337721442372605
1.0575956482891513,0.9244648756702912,0.6430209279046488
0.895219113335187,0.8265107591628739,0.6810473263961636
0.8203214871323998,0.7665804335335028,0.7052459436180366
0.7781578814968558,0.7267540282529869,0.7206625229881044
0.7472703566433226,0.7328378535150358,0.7182822357240962
0.7230342273631469,0.7356657412651663,0.7131841143469051
0.7029672542830577,0.7207281983946281,0.7175780431594385
0.6863885883037637,0.6484339467199188,0.7500989361454478
0.6733953749903357,0.6493552887705232,0.7510882975999255
0.6605358676216583,0.6328570112133103,0.7569546290476523
0.6490966061805116,0.6048709482581104,0.7668889820052611
0.6394963550527222,0.6015811976033706,0.768541797611565
0.6311742719586075,0.6046473547585622,0.7672032497613893
0.6230535260623091,0.5862121769413996,0.7749377284261005
0.6161336264614106,0.5696122452587594,0.7812289033219266
0.6105197071557811,0.5876792229912537,0.7737446749074656
0.6039530970757144,0.5722851969315503,0.7798787159252275
0.5982899564457477,0.5655883142108716,0.7834171380683008
0.5929405379226962,0.5767731205384711,0.7775100682077426
0.5871847646452647,0.5489248540162041,0.7887189515096492
0.5836983598163198,0.5521542207707766,0.788451241939614
0.5790161220777877,0.5358030976338422,0.794759876155225
0.5750444522618259,0.5550279716474763,0.786274646739763
0.5712139617049966,0.5360128552807587,0.794998486858952
0.568543777448253,0.5236848242120579,0.8008531787601555
0.5637066417923431,0.5319785191319771,0.7950566845915683
0.5608363447284067,0.5408978349249912,0.7928102521125777
0.5575136700356277,0.5267792383573122,0.799223642246898
0.5544684432485525,0.5181458184188636,0.8027271457504016
0.5511700806604938,0.535170808142133,0.7955455455455456
0.5484743476958731,0.5090030500282571,0.8071792722955514
0.5453868881552075,0.5067891039091378,0.8076215750634356
0.5435944932008617,0.4975159180338791,0.8103277696300952
0.5414591121091573,0.49795668251659786,0.8121202597946784
0.5384300779961446,0.5380373032083775,0.7926240193682054
0.5349216478194334,0.49659320766902665,0.8116721372535326
0.5327655676938067,0.5082599481417582,0.8074819005051563
0.5318173393858516,0.48744022554996963,0.8153502339548852
0.5275208784323564,0.5069960057981631,0.8054507996368462
0.5259272721559801,0.49537339373649064,0.8109097469562586
0.5244278465019423,0.49822394813817317,0.8095944781991293
0.5225911777039007,0.4914150689678802,0.814669320483274
0.5203372181849752,0.48852862427483057,0.8154084316875014
0.5183722663532142,0.48815485593146035,0.8147682566287218
0.5162876255766397,0.4857005129077617,0.8161650022115139
0.5160478816436356,0.4758049123633927,0.8200002327909305
0.513270340963002,0.47473766617091206,0.8204832739716461
0.5115898155322042,0.46834656764706184,0.8231661894452592
0.5098523334826522,0.47755721027884357,0.8199885932444072
0.5082399938678533,0.471122155293687,0.8228053635030379
0.5061424501276682,0.4668715635471314,0.8236841492655446
0.5044183642233883,0.46446944195074924,0.8235328351607422
0.5028256959769661,0.4709635968957352,0.8218741997811765
0.501372707040648,0.5050062287519926,0.808011499871965
0.4998454797111556,0.4711314308757989,0.8229217589682706
0.49843286054109165,0.45846382638913363,0.8279151244267523
0.49705893590491074,0.4634412210518497,0.8249819587028889
0.4959526571239688,0.4509152717345089,0.8317445352329074
0.4946166226484316,0.45673572281010866,0.8295446609400098
0.4932126445727757,0.46062882351199635,0.8265125590706986
0.4922256408602879,0.4638171315381394,0.8248888423307028
0.4908323463094979,0.4584665971369263,0.8276881532695486
0.49013568125970536,0.44929223453657535,0.8318842097911865
0.488353057661806,0.4564243702106058,0.8283399678748516
0.4867658698410581,0.461665485542897,0.8260644365295529
0.4853588377716714,0.45665286576030617,0.8291954745443118
0.4844064749837242,0.46824834527900655,0.8237830854109924
0.48307400862714733,0.4529687802821761,0.8306795167260284
0.482060377486178,0.4375837112540381,0.8382975999255069
0.48123748022081214,0.45044515023956416,0.8324778266638732
0.48002681955404664,0.45444497177379944,0.8294864632073934
0.47912265029500983,0.45196234736210156,0.830923947203017
0.47796866964201495,0.445928094445694,0.8339793281653747
0.47654329309746785,0.44482577551390334,0.8334206299322579
0.4747078671018414,0.44300200258084577,0.8351258234979165
0.4748357133600383,0.4335756174268817,0.838757362013176
0.47314879088457235,0.44023387897955557,0.8373140582442908
0.47263879648031604,0.43297871063440474,0.8395313918569732
0.47218817366719995,0.4615103428650884,0.8267744488674721
0.47064136528141104,0.42575579082017295,0.8423132434760342
0.46954825729856714,0.4286985061688707,0.841347161114603
0.4690006201790321,0.4267010574445155,0.8422201271038481
0.4676449652685036,0.44108624549081193,0.8349163116604977
0.4667238300135663,0.4343222177264662,0.8369823311683777
0.4657789877317798,0.43285285045027355,0.839583769816328
0.4658804394314425,0.43291294173152794,0.8391880252345368
0.46450167867831804,0.4248319911433404,0.8418593011616268
0.464053096766579,0.44434630318869356,0.834735898689387
0.46254900833891205,0.4243309906520002,0.8440940940940941
0.46186836094740513,0.4363299125572184,0.8391123681821356
0.4607991625357748,0.4327680410310141,0.8389086761179785
0.46101620609564525,0.43088071112724885,0.8410328933584748
0.45964651423891256,0.43786501283785356,0.8361850222315339
0.4582925208784702,0.423407654357451,0.8433724422096515
0.45705626844764635,0.440882313644447,0.8357194403706032
0.4568971811088735,0.4233198851346337,0.8447750075657052
0.4561093910654006,0.41854752749960844,0.8469225038992481
0.4548612760954662,0.4241838165188279,0.8423074237027726
0.45560415388536085,0.4385510374923997,0.8372907791512443
