train_loss,val_loss,val_acc
1.0539,,0.5851
0.8485,,0.6446999999999999
0.7603,,0.6895
0.6839,,0.7234
0.6152,,0.7589
0.5552,,0.7776000000000001
0.5064,,0.8026000000000001
0.4647,,0.8146
0.4312,,0.8369
0.4042,,0.8509
0.372,,0.8609
0.3438,,0.8734000000000001
0.321,,0.8804000000000001
0.3007,,0.8861
0.283,,0.8926000000000001
0.2668,,0.8979
0.2531,,0.8991
0.24,,0.9059999999999999
0.2285,,0.9062
0.2173,,0.9109999999999999
0.2076,,0.9129999999999999
0.1985,,0.9194
0.19,,0.9183
0.1821,,0.9205
0.1744,,0.925
0.1662,,0.9251999999999999
0.159,,0.9283
0.1523,,0.9312
0.1465,,0.9316
0.1404,,0.9311
0.1342,,0.9336
0.1287,,0.9358
0.1233,,0.9362999999999999
0.1182,,0.9388
0.1139,,0.9390000000000001
0.1091,,0.9395
0.1048,,0.9404
0.1008,,0.9414
0.0971,,0.9422
0.0938,,0.9422
0.0904,,0.9433
0.0875,,0.9440000000000001
0.0854,,0.9445
0.0828,,0.9445
0.0811,,0.9449
0.0795,,0.9451999999999999
0.0785,,0.9454
0.0777,,0.9454
0.0768,,0.9453
0.0761,,0.9454
