num_points,accuracy
3,0.49022407732864676
4,0.6200152955315197
5,0.7533468994323659
6,0.8555166374781086
7,0.9202600216684724
8,0.9585862966175195
9,0.9787141615986099
10,0.9863849253893912
11,0.9911360933953086
12,0.9940652818991098
13,0.9969594961450755
14,0.997923951048951
15,0.9984143763213531
16,0.9968399259017108
17,0.9954756005601637
18,0.996313963573287
19,0.9976042687574866
20,0.9975454646881624
21,0.9966109106810976
22,0.9972719336534265
23,0.9948006932409013
24,0.9954218443427076
25,0.995858310626703
26,0.9950103048052934
27,0.9956648964994039
28,0.9933232823605428
29,0.9939264784230154
30,0.9930123375914401
