num_points,accuracy,count
3,0.5914627573569041,9277
4,0.6617076326002588,9276
5,0.7323379855025425,9243
6,0.7852966652230403,9236
7,0.8179042634391015,9171
8,0.8673547820357966,9107
9,0.8972744054729069,9209
10,0.9137066666666667,9375
11,0.9336149014511588,9234
12,0.9452452667814114,9296
13,0.9565497956549796,9298
14,0.9683179096352749,9185
15,0.9671074199541034,9151
16,0.9760381654559254,9223
17,0.9772751407029839,9417
18,0.9827232480293705,9261
19,0.983469252810227,9074
20,0.9867280903806076,9117
21,0.985977212971078,9128
22,0.9895424836601308,9180
23,0.9895070499508143,9149
24,0.9886497483670629,9339
25,0.9902205802455721,9203
26,0.990494086437493,9047
27,0.9901312222101725,9221
28,0.9861660079051383,9108
29,0.9810551822887983,9079
30,0.9711096520026264,9138
