num_points,accuracy
3,0.5016707987495957
4,0.5349288486416559
5,0.570702152980634
6,0.6061065396275443
7,0.6253407480100316
8,0.6637751180410673
9,0.6981214029753502
10,0.7284266666666667
11,0.7575265323803335
12,0.7885111876075731
13,0.8174876317487632
14,0.8424605334784976
15,0.8564091356135941
16,0.881491922367993
17,0.8942338324307104
18,0.9125364431486881
19,0.9185585188450518
20,0.9276077657124054
21,0.9421560035056967
22,0.943681917211329
23,0.9526724232156519
24,0.9481743227326266
25,0.9558839508855808
26,0.9587708632695922
27,0.9578136861511767
28,0.9579490557751428
29,0.9540698314792379
30,0.9444079667323265
