num_points,accuracy
3,0.4462873462214411
4,0.5045340325576314
5,0.5493199100353433
6,0.5756348511383538
7,0.6112676056338028
8,0.6454900260190807
9,0.6692006950477846
10,0.6937152815597429
11,0.7148416387417577
12,0.7281019892295857
13,0.7466608752307525
14,0.7659527972027972
15,0.7869978858350951
16,0.8051650866296175
17,0.8109447376925563
18,0.8206851691240243
19,0.8413372536208211
20,0.8487113689612853
21,0.8572209467585
22,0.8682889567874291
23,0.8783578856152513
24,0.8833660344451711
25,0.890899182561308
26,0.892830024948476
27,0.8884794624471659
28,0.8883265130303682
29,0.8847096430474161
30,0.8862321214106343
