num_points,accuracy
3,0.49746685350867736
4,0.5242561448900388
5,0.5721086227415342
6,0.6359896058899956
7,0.7033038927052666
8,0.7576589436697047
9,0.8187642523618199
10,0.8596266666666667
11,0.8905133203378818
12,0.9122203098106713
13,0.9296622929662293
14,0.9474142623843222
15,0.9510436017921539
16,0.9553290686327659
17,0.9644260380163534
18,0.9706295216499298
19,0.9713467048710601
20,0.9770757924755951
21,0.9795135845749343
22,0.9784313725490196
23,0.9820745436659745
24,0.9825463111682193
25,0.9858741714658263
26,0.9841936553553664
27,0.9834074395401801
28,0.9821036451471234
29,0.9806146051327239
30,0.9690304224119063
