num_points,accuracy
3,0.2827328646748682
4,0.3271058669288758
5,0.3487201456570633
6,0.34840192644483364
7,0.3514626218851571
8,0.343235039028621
9,0.3628366637706342
10,0.367933776277094
11,0.3748783915252405
12,0.3927904165292889
13,0.41426865023346726
14,0.44755244755244755
15,0.4569767441860465
16,0.482837528604119
17,0.5126575460519228
18,0.5407632263660017
19,0.5825982794293804
20,0.6043735356465469
21,0.6296053350825407
22,0.6403317328677434
23,0.6578206239168111
24,0.6715718334423371
25,0.6862125340599455
26,0.6924829157175398
27,0.7098731982226075
28,0.7079474477708378
29,0.7074054342035162
30,0.7109946500709684
